,Model,BLEU
0,gpt-4o,0.07258050440566292
1,gpt-4o,0.030755162731809827
2,gpt-4o,0.04473255807637201
3,gpt-4o,0.06830983009841954
4,gpt-4o,0.057108406125051456
5,gpt-4o,0.02243966737694791
6,gpt-4o,0.09168619571188635
7,gpt-4o,0.04515300605914459
8,gpt-4o,0.08993481802879633
9,gpt-4o,0.036972583272831816
10,gpt-4o,0.03678157656566336
11,gpt-4o,0.07711439067294623
12,gpt-4o,0.10339769655838084
13,gpt-4o,0.07948599060674011
14,gpt-4o,0.07591872319347936
15,gpt-4o,0.013114905813226014
16,gpt-4o,0.05673460319512753
17,gpt-4o,0.035302195495454936
18,gpt-4o,0.05456994530321865
19,gpt-4o,0.07760654948976352
20,claude-3-5-sonnet-20240620,0.11499882308791123
21,claude-3-5-sonnet-20240620,0.13263468899852093
22,claude-3-5-sonnet-20240620,0.09352337645783172
23,claude-3-5-sonnet-20240620,0.05646824952868461
24,claude-3-5-sonnet-20240620,0.0745016802282607
25,claude-3-5-sonnet-20240620,0.13790697672477484
26,claude-3-5-sonnet-20240620,0.2271167594090879
27,claude-3-5-sonnet-20240620,0.10008357734788564
28,claude-3-5-sonnet-20240620,0.27568909589675716
29,claude-3-5-sonnet-20240620,0.10125101286927686
30,claude-3-5-sonnet-20240620,0.07131087717745863
31,claude-3-5-sonnet-20240620,0.07880079546779015
32,claude-3-5-sonnet-20240620,0.1524391489560608
33,claude-3-5-sonnet-20240620,0.08685003627488729
34,claude-3-5-sonnet-20240620,0.11726825996014832
35,claude-3-5-sonnet-20240620,0.11938970844431182
36,claude-3-5-sonnet-20240620,0.14442991744807343
37,claude-3-5-sonnet-20240620,0.16059045424024024
38,claude-3-5-sonnet-20240620,0.1130759491478291
39,claude-3-5-sonnet-20240620,0.1098344800752201
40,EasyOCR,0.0
41,EasyOCR,0.0
42,EasyOCR,0.01042053911494654
43,EasyOCR,0.0
44,EasyOCR,0.0
45,EasyOCR,0.0
46,EasyOCR,0.0
47,EasyOCR,0.0
48,EasyOCR,0.0
49,EasyOCR,0.0
50,EasyOCR,0.0
51,EasyOCR,0.0
52,EasyOCR,0.0
53,EasyOCR,0.0
54,EasyOCR,0.0
55,EasyOCR,0.0
56,EasyOCR,0.0
57,EasyOCR,0.0
58,EasyOCR,0.0
59,EasyOCR,0.0
60,Pytesseract,0.0
61,Pytesseract,0.0
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.02097623174663489
73,Pytesseract,0.0
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.028111137499045098
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.0
81,KerasOCR,0.0
82,KerasOCR,0.0
83,KerasOCR,0.0
84,KerasOCR,0.0
85,KerasOCR,0.0
86,KerasOCR,0.0
87,KerasOCR,0.0
88,KerasOCR,0.0
89,KerasOCR,0.0
90,KerasOCR,0.0
91,KerasOCR,0.0
92,KerasOCR,0.0
93,KerasOCR,0.0
94,KerasOCR,0.0
95,KerasOCR,0.0
96,KerasOCR,0.0
97,KerasOCR,0.0
98,KerasOCR,0.0
99,KerasOCR,0.0
100,trOCR,0.0
101,trOCR,0.0
102,trOCR,0.0
103,trOCR,0.0
104,trOCR,0.0
105,trOCR,0.0
106,trOCR,0.0
107,trOCR,0.0
108,trOCR,0.0
109,trOCR,0.0
110,trOCR,0.0
111,trOCR,0.0
112,trOCR,0.0
113,trOCR,0.0
114,trOCR,0.0
115,trOCR,0.0
116,trOCR,0.0
117,trOCR,0.0
118,trOCR,0.0
119,trOCR,0.0
