| DATE DE DÉCÈS | RÉGIMENT OU FORMATION D'APPARTENANCE OU ARMÉE | NOM, PRÉNOM | DATE | NATURE DE L'ACTE | NUMÉRO D'ORDRE | DATE | RÉCÉPISSÉ DE L'ACTE | DATE | OBSERVATIONS |
|----------------|--------------------------------------------|----------------|------|----------------|----------------|------|----------------|------|----------------|
| 6 août 1914    | 3e zouaves                                 | Tibiéault      |      |                |                |      |                |      |                |
|                |                                            |                |      |                |                |      |                |      |                |
| 6 août 1914    | 3e zouaves                                 | Wauthier       |      |                |                |      |                |      |                |
|                |                                            |                |      |                |                |      |                |      |                |
| 6 août 1914    | 3e zouaves                                 | Jacquet        |      |                |                |      |                |      |                |
|                |                                            |                |      |                |                |      |                |      |                |
| 6 août 1914    | 3e zouaves                                 | Danglaire      |      |                |                |      |                |      |                |
|                |                                            |                |      |                |                |      |                |      |                |
| 6 août 1914    | 3e zouaves                                 | Blasman        |      |                |                |      |                |      |                |
