model,id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
gpt_one_example,1_0,0.4159620582694777,"[0.9175257731958762, 0.7291666666666666, 0.5894736842105263]",0.5672187147811254,0.6381578947368421,97.0,152.0
gpt_one_example,1_2,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_3,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,27.0,27.0
gpt_one_example,1_4,0.31306211647069615,"[0.625, 0.3333333333333333, 0.21428571428571427]",0.8824969025845955,0.8888888888888888,16.0,18.0
gpt_one_example,1_5,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,1_6,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_7,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_8,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_9,0.31092879814848173,"[0.6666666666666666, 0.35, 0.2631578947368421]",0.788127627745311,0.8076923076923077,21.0,26.0
gpt_one_example,1_10,0.0,"[0.47368421052631576, 0.05555555555555555, 0.0]",1.0,1.0,19.0,19.0
gpt_one_example,1_11,0.1430012298793829,"[0.45, 0.15789473684210525, 0.05555555555555555]",0.9048374180359595,0.9090909090909091,20.0,22.0
gpt_one_example,1_12,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,1_13,0.14417194261068772,"[0.5, 0.21739130434782608, 0.045454545454545456]",0.846481724890614,0.8571428571428571,24.0,28.0
gpt_one_example,2_0,0.36774690604276083,"[0.9101123595505618, 0.75, 0.6091954022988506]",0.4926948960943648,0.5855263157894737,89.0,152.0
gpt_one_example,2_1,0.0,"[1.0, 0.0, 0.0]",0.36787944117144233,0.5,1.0,2.0
gpt_one_example,2_2,0.0,"[0.5, 0.14285714285714285, 0.0]",0.7613003866968737,0.7857142857142857,22.0,28.0
gpt_one_example,2_3,0.2070533083703204,"[0.5555555555555556, 0.29411764705882354, 0.125]",0.7574651283969664,0.782608695652174,18.0,23.0
gpt_one_example,2_4,0.25241327659935675,"[0.55, 0.2631578947368421, 0.1111111111111111]",1.0,1.0,20.0,20.0
gpt_one_example,2_5,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,2_6,0.2797971493021264,"[0.65, 0.3684210526315789, 0.16666666666666666]",0.8187307530779819,0.8333333333333334,20.0,24.0
gpt_one_example,2_7,0.4181329587948234,"[0.8125, 0.5333333333333333, 0.35714285714285715]",0.7788007830714049,0.8,16.0,20.0
gpt_one_example,2_8,0.28845146178764514,"[0.6666666666666666, 0.35, 0.15789473684210525]",0.8668778997501817,0.875,21.0,24.0
gpt_one_example,2_9,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,2_10,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,2_11,0.0,"[0.4117647058823529, 0.0625, 0.0]",0.7451888170134805,0.7727272727272727,17.0,22.0
gpt_one_example,2_12,0.2282587988873018,"[0.6666666666666666, 0.23529411764705882, 0.125]",0.846481724890614,0.8571428571428571,18.0,21.0
gpt_one_example,2_13,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,2_14,0.0,"[0.2631578947368421, 0.05555555555555555, 0.0]",0.729212952525235,0.76,19.0,25.0
gpt_one_example,3_0,0.20814076080170152,"[0.9305555555555556, 0.6338028169014085, 0.42857142857142855]",0.32919298780790557,0.47368421052631576,72.0,152.0
gpt_one_example,3_1,0.27291536056118626,"[0.5217391304347826, 0.2727272727272727, 0.14285714285714285]",1.0,1.0454545454545454,23.0,22.0
gpt_one_example,3_2,0.20714883373025725,"[0.48148148148148145, 0.23076923076923078, 0.08]",1.0,1.125,27.0,24.0
gpt_one_example,3_3,0.29087413364064824,"[0.55, 0.3157894736842105, 0.2222222222222222]",0.8607079764250577,0.8695652173913043,20.0,23.0
gpt_one_example,3_4,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,3_5,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,3_6,0.3881602545015049,"[0.8125, 0.5333333333333333, 0.2857142857142857]",0.7788007830714049,0.8,16.0,20.0
gpt_one_example,3_7,0.24839327180995668,"[0.41379310344827586, 0.25, 0.14814814814814814]",1.0,1.0,29.0,29.0
gpt_one_example,3_8,0.3095322435795321,"[0.6190476190476191, 0.35, 0.15789473684210525]",0.9534969548334766,0.9545454545454546,21.0,22.0
gpt_one_example,3_9,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,3_10,0.18579483750056539,"[0.5294117647058824, 0.3125, 0.13333333333333333]",0.6624801353939264,0.7083333333333334,17.0,24.0
gpt_one_example,3_11,0.0,"[0.25, 0.06666666666666667, 0.0]",0.8824969025845955,0.8888888888888888,16.0,18.0
gpt_one_example,3_12,0.0,"[0.23076923076923078, 0.08333333333333333, 0.0]",0.5836454781435741,0.65,13.0,20.0
gpt_one_example,3_13,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,4_0,0.40801552371041105,"[0.896551724137931, 0.5478260869565217, 0.3508771929824561]",0.7331940870813974,0.7631578947368421,116.0,152.0
gpt_one_example,4_1,0.5,"[0.8333333333333334, 0.6, 0.25]",1.0,1.0,6.0,6.0
gpt_one_example,4_2,0.23444894567375418,"[0.5789473684210527, 0.2777777777777778, 0.17647058823529413]",0.7686205265937356,0.7916666666666666,19.0,24.0
gpt_one_example,4_3,0.4724730027947712,"[0.7619047619047619, 0.5, 0.3684210526315789]",0.909156442876713,0.9130434782608695,21.0,23.0
gpt_one_example,4_4,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,4_5,0.5,"[0.8333333333333334, 0.6, 0.25]",1.0,1.0,6.0,6.0
gpt_one_example,4_6,0.3164622750568062,"[0.5833333333333334, 0.34782608695652173, 0.22727272727272727]",0.8824969025845955,0.8888888888888888,24.0,27.0
gpt_one_example,4_7,0.3185935431036446,"[0.8181818181818182, 0.6, 0.4444444444444444]",0.5292133415000504,0.6111111111111112,11.0,18.0
gpt_one_example,4_8,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,4_9,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,4_10,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,4_11,0.28867147732786624,"[0.5789473684210527, 0.3888888888888889, 0.23529411764705882]",0.7686205265937356,0.7916666666666666,19.0,24.0
gpt_one_example,4_12,0.21274016172793853,"[0.6, 0.2631578947368421, 0.1111111111111111]",0.8187307530779819,0.8333333333333334,20.0,24.0
gpt_one_example,4_13,0.5647181220077593,"[1.0, 1.0, 1.0]",0.5647181220077593,0.6363636363636364,7.0,11.0
gpt_one_example,5_0,0.45870245011959926,"[0.6933333333333334, 0.47651006711409394, 0.30405405405405406]",0.9867551618071956,0.9868421052631579,150.0,152.0
gpt_one_example,5_1,0.0,"[1.0, 0.0, 0.0]",1.0,1.0,1.0,1.0
gpt_one_example,5_2,0.196814828958927,"[0.5833333333333334, 0.30434782608695654, 0.09090909090909091]",0.7788007830714049,0.8,24.0,30.0
gpt_one_example,5_3,0.13772538948769805,"[0.5555555555555556, 0.23529411764705882, 0.125]",0.5427474811642219,0.6206896551724138,18.0,29.0
gpt_one_example,5_4,0.0,"[0.5, 0.13333333333333333, 0.0]",0.645648526427892,0.6956521739130435,16.0,23.0
gpt_one_example,5_5,0.23885518780180723,"[0.6111111111111112, 0.29411764705882354, 0.125]",0.846481724890614,0.8571428571428571,18.0,21.0
gpt_one_example,5_6,0.2745497780602132,"[0.5789473684210527, 0.2777777777777778, 0.17647058823529413]",0.9000876262522594,0.9047619047619048,19.0,21.0
gpt_one_example,5_7,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,5_8,0.3407260935228316,"[0.75, 0.4782608695652174, 0.18181818181818182]",0.846481724890614,0.8571428571428571,24.0,28.0
gpt_one_example,5_9,0.2753200250859271,"[0.48, 0.25, 0.17391304347826086]",1.0,1.0,25.0,25.0
gpt_one_example,5_10,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,6.0,6.0
gpt_one_example,5_11,0.25184319831821866,"[0.7142857142857143, 0.46153846153846156, 0.3333333333333333]",0.5257880244257798,0.6086956521739131,14.0,23.0
gpt_one_example,5_12,0.3749206878575897,"[0.6086956521739131, 0.36363636363636365, 0.23809523809523808]",1.0,1.0,23.0,23.0
gpt_one_example,5_13,0.17917849668490093,"[0.4117647058823529, 0.25, 0.06666666666666667]",0.9428731438548749,0.9444444444444444,17.0,18.0
gpt_one_example,5_14,0.3731211608790258,"[0.625, 0.391304347826087, 0.2727272727272727]",0.9200444146293233,0.9230769230769231,24.0,26.0
gpt_one_example,6_0,0.4002981063871994,"[0.9042553191489362, 0.7419354838709677, 0.6086956521739131]",0.5395492141873537,0.618421052631579,94.0,152.0
gpt_one_example,6_1,0.0,"[0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0
gpt_one_example,6_2,0.44078200925183864,"[0.5416666666666666, 0.43478260869565216, 0.36363636363636365]",1.0,1.1428571428571428,24.0,21.0
gpt_one_example,6_3,0.15555956734607557,"[0.43478260869565216, 0.18181818181818182, 0.047619047619047616]",1.0,1.15,23.0,20.0
gpt_one_example,6_4,0.0,"[0.38461538461538464, 0.0, 0.0]",0.925961078642316,0.9285714285714286,13.0,14.0
gpt_one_example,6_5,0.12620800097353088,"[0.3333333333333333, 0.14285714285714285, 0.07692307692307693]",0.8187307530779819,0.8333333333333334,15.0,18.0
gpt_one_example,6_6,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,6_7,0.42219219375134776,"[0.7894736842105263, 0.4444444444444444, 0.29411764705882354]",0.9000876262522594,0.9047619047619048,19.0,21.0
gpt_one_example,6_8,0.6114214174657597,"[0.8571428571428571, 0.6666666666666666, 0.4]",1.0,1.0,7.0,7.0
gpt_one_example,6_9,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,8.0,8.0
gpt_one_example,6_10,0.4215404041145079,"[0.6842105263157895, 0.5, 0.4117647058823529]",0.8101577349324267,0.8260869565217391,19.0,23.0
gpt_one_example,6_11,0.0,"[0.5882352941176471, 0.25, 0.0]",0.8890097654027757,0.8947368421052632,17.0,19.0
gpt_one_example,6_12,0.25388093727153344,"[0.625, 0.26666666666666666, 0.14285714285714285]",0.8824969025845955,0.8888888888888888,16.0,18.0
gpt_one_example,6_13,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,6_14,0.0,"[0.3, 0.05263157894736842, 0.0]",0.951229424500714,0.9523809523809523,20.0,21.0
gpt_one_example,7_0,0.22539727289438907,"[0.9090909090909091, 0.6052631578947368, 0.38666666666666666]",0.3775599276970476,0.506578947368421,77.0,152.0
gpt_one_example,7_1,0.5,"[0.8333333333333334, 0.6, 0.25]",1.0,1.0,6.0,6.0
gpt_one_example,7_2,0.0,"[0.36363636363636365, 0.09523809523809523, 0.0]",0.7967034698934615,0.8148148148148148,22.0,27.0
gpt_one_example,7_3,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,7_4,0.29744417462950146,"[0.5, 0.3157894736842105, 0.16666666666666666]",1.0,1.0,20.0,20.0
gpt_one_example,7_5,0.3624601243342975,"[0.7142857142857143, 0.3333333333333333, 0.2]",1.0,1.0,7.0,7.0
gpt_one_example,7_6,0.6786044041487267,"[0.875, 0.7142857142857143, 0.5]",1.0,1.0,8.0,8.0
gpt_one_example,7_7,0.6299605249474366,"[0.8333333333333334, 0.6, 0.5]",1.0,1.0,6.0,6.0
gpt_one_example,7_8,0.1501916145076108,"[0.4117647058823529, 0.25, 0.06666666666666667]",0.7903383629814982,0.8095238095238095,17.0,21.0
gpt_one_example,7_9,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,7_10,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,7_11,0.6999028047752016,"[0.8571428571428571, 0.6666666666666666, 0.6]",1.0,1.0,7.0,7.0
gpt_one_example,7_12,0.0,"[0.5, 0.19047619047619047, 0.0]",0.7967034698934615,0.8148148148148148,22.0,27.0
gpt_one_example,7_13,0.1534315794513102,"[0.3684210526315789, 0.16666666666666666, 0.058823529411764705]",1.0,1.0,19.0,19.0
gpt_one_example,8_0,0.17639026489716644,"[0.925, 0.43037974683544306, 0.20512820512820512]",0.40656965974059905,0.5263157894736842,80.0,152.0
gpt_one_example,8_1,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,7.0,7.0
gpt_one_example,8_2,0.249112642388582,"[0.6666666666666666, 0.3, 0.15789473684210525]",0.788127627745311,0.8076923076923077,21.0,26.0
gpt_one_example,8_3,0.39479099323114497,"[0.6666666666666666, 0.4782608695652174, 0.3181818181818182]",0.846481724890614,0.8571428571428571,24.0,28.0
gpt_one_example,8_4,0.0,"[0.45454545454545453, 0.047619047619047616, 0.0]",0.9555630362682843,0.9565217391304348,22.0,23.0
gpt_one_example,8_5,0.0,"[0.38095238095238093, 0.1, 0.0]",0.6832104226749482,0.7241379310344828,21.0,29.0
gpt_one_example,8_6,0.0,"[0.14285714285714285, 0.0, 0.0]",0.5647181220077593,0.6363636363636364,14.0,22.0
gpt_one_example,8_7,0.39700182915256527,"[0.5714285714285714, 0.4, 0.3157894736842105]",0.9534969548334766,0.9545454545454546,21.0,22.0
gpt_one_example,8_8,0.1349474906292937,"[0.4782608695652174, 0.18181818181818182, 0.047619047619047616]",0.8403699701308981,0.8518518518518519,23.0,27.0
gpt_one_example,8_9,0.28614331297470647,"[0.6470588235294118, 0.4375, 0.2]",0.7451888170134805,0.7727272727272727,17.0,22.0
gpt_one_example,8_10,0.4733525286819944,"[0.6363636363636364, 0.47619047619047616, 0.35]",1.0,1.0,22.0,22.0
gpt_one_example,8_11,0.30623240037406374,"[0.5384615384615384, 0.32, 0.16666666666666666]",1.0,1.1818181818181819,26.0,22.0
gpt_one_example,8_12,0.5647181220077593,"[1.0, 1.0, 1.0]",0.5647181220077593,0.6363636363636364,7.0,11.0
gpt_one_example,8_13,1.0,"[1.0, 1.0, 1.0]",1.0,1.0,8.0,8.0
gpt_one_example,9_0,0.1926880242067338,"[0.8762886597938144, 0.3541666666666667, 0.12631578947368421]",0.5672187147811254,0.6381578947368421,97.0,152.0
gpt_one_example,9_1,0.36973494931036327,"[0.8333333333333334, 0.4, 0.25]",0.846481724890614,0.8571428571428571,6.0,7.0
gpt_one_example,9_2,0.38640194488721363,"[0.5769230769230769, 0.4, 0.25]",1.0,1.0833333333333333,26.0,24.0
