,Model,BLEU
0,gpt-4o,0.3086484606396031
1,gpt-4o,0.9775997099889695
2,gpt-4o,0.3282384752152514
3,gpt-4o,0.39617503889477595
4,gpt-4o,0.0
5,gpt-4o,0.327273671283329
6,gpt-4o,0.0
7,gpt-4o,0.2570960572002588
8,gpt-4o,0.3531452271068922
9,gpt-4o,0.3809636879281528
10,gpt-4o,0.46738468244763043
11,gpt-4o,0.30468001041893533
12,gpt-4o,0.15956497317352827
13,gpt-4o,0.3203036645513366
14,gpt-4o,0.4513416832835881
15,gpt-4o,0.3100925889156382
16,gpt-4o,0.3266789047211477
17,gpt-4o,0.33052866624353755
18,gpt-4o,0.29490766602657575
19,gpt-4o,0.36696666833685376
20,claude-3-5-sonnet-20240620,0.061937194584691185
21,claude-3-5-sonnet-20240620,0.13346518618412095
22,claude-3-5-sonnet-20240620,0.06711172699097794
23,claude-3-5-sonnet-20240620,0.08695566935135247
24,claude-3-5-sonnet-20240620,0.042232628496030274
25,claude-3-5-sonnet-20240620,0.06746275910282783
26,claude-3-5-sonnet-20240620,0.0
27,claude-3-5-sonnet-20240620,0.023382603082204672
28,claude-3-5-sonnet-20240620,0.0
29,claude-3-5-sonnet-20240620,0.06570853967563313
30,claude-3-5-sonnet-20240620,0.06548317131795695
31,claude-3-5-sonnet-20240620,0.04735123328650393
32,claude-3-5-sonnet-20240620,0.041550133079644724
33,claude-3-5-sonnet-20240620,0.08612279753153365
34,claude-3-5-sonnet-20240620,0.09421500996601828
35,claude-3-5-sonnet-20240620,0.1102092515090471
36,claude-3-5-sonnet-20240620,0.07983834945940006
37,claude-3-5-sonnet-20240620,0.06391269157937346
38,claude-3-5-sonnet-20240620,0.049211474432753595
39,claude-3-5-sonnet-20240620,0.10046595067205123
40,EasyOCR,0.0
41,EasyOCR,0.0
42,EasyOCR,0.01042053911494654
43,EasyOCR,0.0
44,EasyOCR,0.0
45,EasyOCR,0.0
46,EasyOCR,0.0
47,EasyOCR,0.0
48,EasyOCR,0.0
49,EasyOCR,0.0
50,EasyOCR,0.0
51,EasyOCR,0.0
52,EasyOCR,0.0
53,EasyOCR,0.0
54,EasyOCR,0.0
55,EasyOCR,0.0
56,EasyOCR,0.0
57,EasyOCR,0.0
58,EasyOCR,0.0
59,EasyOCR,0.0
60,Pytesseract,0.0
61,Pytesseract,0.0
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.02097623174663489
73,Pytesseract,0.0
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.028111137499045098
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.0
81,KerasOCR,0.0
82,KerasOCR,0.0
83,KerasOCR,0.0
84,KerasOCR,0.0
85,KerasOCR,0.0
86,KerasOCR,0.0
87,KerasOCR,0.0
88,KerasOCR,0.0
89,KerasOCR,0.0
90,KerasOCR,0.0
91,KerasOCR,0.0
92,KerasOCR,0.0
93,KerasOCR,0.0
94,KerasOCR,0.0
95,KerasOCR,0.0
96,KerasOCR,0.0
97,KerasOCR,0.0
98,KerasOCR,0.0
99,KerasOCR,0.0
100,trOCR,0.0
101,trOCR,0.0
102,trOCR,0.0
103,trOCR,0.0
104,trOCR,0.0
105,trOCR,0.0
106,trOCR,0.0
107,trOCR,0.0
108,trOCR,0.0
109,trOCR,0.0
110,trOCR,0.0
111,trOCR,0.0
112,trOCR,0.0
113,trOCR,0.0
114,trOCR,0.0
115,trOCR,0.0
116,trOCR,0.0
117,trOCR,0.0
118,trOCR,0.0
119,trOCR,0.0
