model,id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
gpt_one_example,1_0,0.0,"[0.0, 0.0, 0.0]",1.009020564930396e-09,0.046052631578947366,7.0,152.0
gpt_one_example,1_2,0.4149132666831218,"[0.7142857142857143, 0.5, 0.2]",1.0,1.0,7.0,7.0
gpt_one_example,1_3,0.0,"[0.2857142857142857, 0.0, 0.0]",0.05743261926761735,0.25925925925925924,7.0,27.0
gpt_one_example,1_4,0.0,"[0.14285714285714285, 0.0, 0.0]",0.20774818714360088,0.3888888888888889,7.0,18.0
gpt_one_example,1_5,0.0,"[0.5714285714285714, 0.3333333333333333, 0.0]",1.0,1.1666666666666667,7.0,6.0
gpt_one_example,1_6,0.0,"[0.5714285714285714, 0.3333333333333333, 0.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_7,0.0,"[0.42857142857142855, 0.0, 0.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_8,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0]",1.0,1.0,7.0,7.0
gpt_one_example,1_9,0.0,"[0.14285714285714285, 0.0, 0.0]",0.06625225915226167,0.2692307692307692,7.0,26.0
gpt_one_example,1_10,0.0,"[0.14285714285714285, 0.0, 0.0]",0.18009231214795235,0.3684210526315789,7.0,19.0
gpt_one_example,1_11,0.0,"[0.14285714285714285, 0.0, 0.0]",0.11731916609425078,0.3181818181818182,7.0,22.0
gpt_one_example,1_12,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0]",1.0,1.1666666666666667,7.0,6.0
gpt_one_example,1_13,0.0,"[0.14285714285714285, 0.0, 0.0]",0.049787068367863944,0.25,7.0,28.0
gpt_one_example,2_0,0.0,"[0.0, 0.0, 0.0]",1.009020564930396e-09,0.046052631578947366,7.0,152.0
gpt_one_example,2_1,0.0,"[0.14285714285714285, 0.0, 0.0]",1.0,3.5,7.0,2.0
gpt_one_example,2_2,0.0,"[0.14285714285714285, 0.0, 0.0]",0.049787068367863944,0.25,7.0,28.0
gpt_one_example,2_3,0.0,"[0.14285714285714285, 0.0, 0.0]",0.10170139230422684,0.30434782608695654,7.0,23.0
gpt_one_example,2_4,0.0,"[0.0, 0.0, 0.0]",0.15611804531597107,0.35,7.0,20.0
gpt_one_example,2_5,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0]",1.0,1.1666666666666667,7.0,6.0
gpt_one_example,2_6,0.0,"[0.14285714285714285, 0.0, 0.0]",0.08816268936235745,0.2916666666666667,7.0,24.0
gpt_one_example,2_7,0.0,"[0.0, 0.0, 0.0]",0.15611804531597107,0.35,7.0,20.0
gpt_one_example,2_8,0.0,"[0.14285714285714285, 0.0, 0.0]",0.08816268936235745,0.2916666666666667,7.0,24.0
gpt_one_example,2_9,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0]",1.0,1.1666666666666667,7.0,6.0
gpt_one_example,2_10,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0]",1.0,1.1666666666666667,7.0,6.0
gpt_one_example,2_11,0.0,"[0.2857142857142857, 0.0, 0.0]",0.11731916609425078,0.3181818181818182,7.0,22.0
