```
DATE DE DEPOT | DENOMINATION DES PIECES DEPOSEES OU REMISES | NOMS, PRENOMS
              | NATURE | NOMBRE | NUMEROS | NOMS, PRENOMS
              |        |        |         | DES PERSONNES QUI ONT FAIT LE DEPOT

6  |  1915  |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |  1      |  1      |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
    |        |         |         |  Arrêté de réquisition décembre 1914  |  Tibiéault
