,Model,BLEU
0,gpt-4o,0.12309036662265048
1,gpt-4o,0.3309144076492175
2,gpt-4o,0.12613257572957642
3,gpt-4o,0.050020137466769546
4,gpt-4o,0.388105142353485
5,gpt-4o,0.0
6,gpt-4o,0.03213811727596675
7,gpt-4o,0.05782911874555102
8,gpt-4o,0.017626546971498906
9,gpt-4o,0.010894819300561586
10,gpt-4o,0.0838831949897661
11,gpt-4o,0.03777743025354648
12,gpt-4o,0.014148792911754202
13,gpt-4o,0.0
14,gpt-4o,0.018741177216380245
15,gpt-4o,0.06727225117467396
16,gpt-4o,0.05934299259399051
17,gpt-4o,0.031249326437343496
18,gpt-4o,0.3939807630365937
19,gpt-4o,0.04156712068902172
20,claude-3-5-sonnet-20240620,0.15743354103055565
21,claude-3-5-sonnet-20240620,0.22558430794667472
22,claude-3-5-sonnet-20240620,0.05936929219823743
23,claude-3-5-sonnet-20240620,0.07277828278142248
24,claude-3-5-sonnet-20240620,0.06154422310044807
25,claude-3-5-sonnet-20240620,0.11270290423083017
26,claude-3-5-sonnet-20240620,0.03143734922675572
27,claude-3-5-sonnet-20240620,0.08950231322489348
28,claude-3-5-sonnet-20240620,0.08854105824462012
29,claude-3-5-sonnet-20240620,0.07104495088676012
30,claude-3-5-sonnet-20240620,0.0
31,claude-3-5-sonnet-20240620,0.0
32,claude-3-5-sonnet-20240620,0.10515182233577756
33,claude-3-5-sonnet-20240620,0.034046136159224555
34,claude-3-5-sonnet-20240620,0.07633752481097009
35,claude-3-5-sonnet-20240620,0.061600409156895325
36,claude-3-5-sonnet-20240620,0.06310158388436138
37,claude-3-5-sonnet-20240620,0.13450578265443394
38,claude-3-5-sonnet-20240620,0.07074791621765185
39,claude-3-5-sonnet-20240620,0.11760078526439381
40,EasyOCR,0.0
41,EasyOCR,0.0
42,EasyOCR,0.0
43,EasyOCR,0.0
44,EasyOCR,0.0
45,EasyOCR,0.0
46,EasyOCR,0.0
47,EasyOCR,0.0
48,EasyOCR,0.0
49,EasyOCR,0.0
50,EasyOCR,0.0
51,EasyOCR,0.0
52,EasyOCR,0.0
53,EasyOCR,0.0
54,EasyOCR,0.0
55,EasyOCR,0.0
56,EasyOCR,0.0
57,EasyOCR,0.0
58,EasyOCR,0.0
59,EasyOCR,0.0
60,Pytesseract,0.0
61,Pytesseract,0.005507540395598103
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.0
73,Pytesseract,0.010280720042928418
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.0
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.0
81,KerasOCR,0.0
82,KerasOCR,0.0
83,KerasOCR,0.0
84,KerasOCR,0.0
85,KerasOCR,0.0
86,KerasOCR,0.0
87,KerasOCR,0.0
88,KerasOCR,0.0
89,KerasOCR,0.0
90,KerasOCR,0.0
91,KerasOCR,0.0
92,KerasOCR,0.0
93,KerasOCR,0.0
94,KerasOCR,0.0
95,KerasOCR,0.0
96,KerasOCR,0.0
97,KerasOCR,0.0
98,KerasOCR,0.0
99,KerasOCR,0.0
