| DATE DE L'ACTE | INDICATION DES PERSONNES DÉCÉDÉES OU ABSENTES | NOM, PRÉNOMS | DATE | RECETTE | OBSERVATIONS |
|----------------|--------------------------------------------|-------------|------|---------|----------------|
|                |                                            |             |      |         |                |
|                |                                            |             |      |         |                |
|                |                                            |             |      |         |                |
|                |                                            |             |      |         |                |
|                |                                            |             |      |         |                |
| 6 18           |                                            | Caburreau   |      |         |                |
| 6 18           |                                            | Declefs     |      |         |                |
| 6 19           |                                            | Pélissier   |      |         |                |
| 6 19           |                                            | Dubois      |      |         |                |
| 6 19           |                                            | Remience    |      |         |                |
