,Model,BLEU
0,gpt-4o,0.08175735653454991
1,gpt-4o,0.03546840819599939
2,gpt-4o,0.04444362344147291
3,gpt-4o,0.07178376781295366
4,gpt-4o,0.04655063400918515
5,gpt-4o,0.06341895398934369
6,gpt-4o,0.05993089664745441
7,gpt-4o,0.05370917674224506
8,gpt-4o,0.08902931818024032
9,gpt-4o,0.06356914935442014
10,gpt-4o,0.03550765867503787
11,gpt-4o,0.05089182687892606
12,gpt-4o,0.06174131773708522
13,gpt-4o,0.09524914122751782
14,gpt-4o,0.030186518748678382
15,gpt-4o,0.0715032223663911
16,gpt-4o,0.06829262945935448
17,gpt-4o,0.033369786190149096
18,gpt-4o,0.04990137065695149
19,gpt-4o,0.08129421226169388
20,claude-3-5-sonnet-20240620,0.10629228033840704
21,claude-3-5-sonnet-20240620,0.1098285777342178
22,claude-3-5-sonnet-20240620,0.08640383516662747
23,claude-3-5-sonnet-20240620,0.043919664150216225
24,claude-3-5-sonnet-20240620,0.06892395880494301
25,claude-3-5-sonnet-20240620,0.11407100449881821
26,claude-3-5-sonnet-20240620,0.16927913656697086
27,claude-3-5-sonnet-20240620,0.08839113475680788
28,claude-3-5-sonnet-20240620,0.19004734959114908
29,claude-3-5-sonnet-20240620,0.11130478183198574
30,claude-3-5-sonnet-20240620,0.0662890774537855
31,claude-3-5-sonnet-20240620,0.07401172904726963
32,claude-3-5-sonnet-20240620,0.12945973317704923
33,claude-3-5-sonnet-20240620,0.08166099867733864
34,claude-3-5-sonnet-20240620,0.11068357720534286
35,claude-3-5-sonnet-20240620,0.08895131518242248
36,claude-3-5-sonnet-20240620,0.13559576624013284
37,claude-3-5-sonnet-20240620,0.06886687994211073
38,claude-3-5-sonnet-20240620,0.11004877212381454
39,claude-3-5-sonnet-20240620,0.08867712660713478
40,EasyOCR,0.0
41,EasyOCR,0.0
42,EasyOCR,0.01042053911494654
43,EasyOCR,0.0
44,EasyOCR,0.0
45,EasyOCR,0.0
46,EasyOCR,0.0
47,EasyOCR,0.0
48,EasyOCR,0.0
49,EasyOCR,0.0
50,EasyOCR,0.0
51,EasyOCR,0.0
52,EasyOCR,0.0
53,EasyOCR,0.0
54,EasyOCR,0.0
55,EasyOCR,0.0
56,EasyOCR,0.0
57,EasyOCR,0.0
58,EasyOCR,0.0
59,EasyOCR,0.0
60,Pytesseract,0.0
61,Pytesseract,0.0
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.02097623174663489
73,Pytesseract,0.0
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.028111137499045098
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.0
81,KerasOCR,0.0
82,KerasOCR,0.0
83,KerasOCR,0.0
84,KerasOCR,0.0
85,KerasOCR,0.0
86,KerasOCR,0.0
87,KerasOCR,0.0
88,KerasOCR,0.0
89,KerasOCR,0.0
90,KerasOCR,0.0
91,KerasOCR,0.0
92,KerasOCR,0.0
93,KerasOCR,0.0
94,KerasOCR,0.0
95,KerasOCR,0.0
96,KerasOCR,0.0
97,KerasOCR,0.0
98,KerasOCR,0.0
99,KerasOCR,0.0
100,trOCR,0.0
101,trOCR,0.0
102,trOCR,0.0
103,trOCR,0.0
104,trOCR,0.0
105,trOCR,0.0
106,trOCR,0.0
107,trOCR,0.0
108,trOCR,0.0
109,trOCR,0.0
110,trOCR,0.0
111,trOCR,0.0
112,trOCR,0.0
113,trOCR,0.0
114,trOCR,0.0
115,trOCR,0.0
116,trOCR,0.0
117,trOCR,0.0
118,trOCR,0.0
119,trOCR,0.0
