,Model,BLEU
0,gpt-4o,0.33570395828107863
1,gpt-4o,0.9695798018960858
2,gpt-4o,0.9689838764754238
3,gpt-4o,0.4304197722841549
4,gpt-4o,0.0
5,gpt-4o,0.2543365689344664
6,gpt-4o,0.3273558248534169
7,gpt-4o,0.2553387985476338
8,gpt-4o,0.4922089151131364
9,gpt-4o,0.4384024572573593
10,gpt-4o,0.32068626065396716
11,gpt-4o,0.0642193578216147
12,gpt-4o,0.0
13,gpt-4o,0.3293613793880918
14,gpt-4o,0.15517287529537122
15,gpt-4o,0.302242321394977
16,gpt-4o,0.34744063890122245
17,gpt-4o,0.3105801259762836
18,gpt-4o,0.2508716998689724
19,gpt-4o,0.36628437065407227
20,claude-3-5-sonnet-20240620,0.05657880589989004
21,claude-3-5-sonnet-20240620,0.12028651800363163
22,claude-3-5-sonnet-20240620,0.11815477929652439
23,claude-3-5-sonnet-20240620,0.10400684476623803
24,claude-3-5-sonnet-20240620,0.05491508386329008
25,claude-3-5-sonnet-20240620,0.0379476615480035
26,claude-3-5-sonnet-20240620,0.10460573359782085
27,claude-3-5-sonnet-20240620,0.05419277452523171
28,claude-3-5-sonnet-20240620,0.14364055617442867
29,claude-3-5-sonnet-20240620,0.06500409343335636
30,claude-3-5-sonnet-20240620,0.09470570137812673
31,claude-3-5-sonnet-20240620,0.05186633190366373
32,claude-3-5-sonnet-20240620,0.05732680322739202
33,claude-3-5-sonnet-20240620,0.09512326361260771
34,claude-3-5-sonnet-20240620,0.0
35,claude-3-5-sonnet-20240620,0.10355242510588505
36,claude-3-5-sonnet-20240620,0.07993781218294321
37,claude-3-5-sonnet-20240620,0.06914367710634158
38,claude-3-5-sonnet-20240620,0.09127356538705651
39,claude-3-5-sonnet-20240620,0.09701781268829818
40,EasyOCR,0.0
41,EasyOCR,0.0
42,EasyOCR,0.01042053911494654
43,EasyOCR,0.0
44,EasyOCR,0.0
45,EasyOCR,0.0
46,EasyOCR,0.0
47,EasyOCR,0.0
48,EasyOCR,0.0
49,EasyOCR,0.0
50,EasyOCR,0.0
51,EasyOCR,0.0
52,EasyOCR,0.0
53,EasyOCR,0.0
54,EasyOCR,0.0
55,EasyOCR,0.0
56,EasyOCR,0.0
57,EasyOCR,0.0
58,EasyOCR,0.0
59,EasyOCR,0.0
60,Pytesseract,0.0
61,Pytesseract,0.0
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.0
73,Pytesseract,0.0
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.0
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.0
81,KerasOCR,0.0
82,KerasOCR,0.0
83,KerasOCR,0.0
84,KerasOCR,0.0
85,KerasOCR,0.0
86,KerasOCR,0.0
87,KerasOCR,0.0
88,KerasOCR,0.0
89,KerasOCR,0.0
90,KerasOCR,0.0
91,KerasOCR,0.0
92,KerasOCR,0.0
93,KerasOCR,0.0
94,KerasOCR,0.0
95,KerasOCR,0.0
96,KerasOCR,0.0
97,KerasOCR,0.0
98,KerasOCR,0.0
99,KerasOCR,0.0
100,trOCR,0.0
101,trOCR,0.0
102,trOCR,0.0
103,trOCR,0.0
104,trOCR,0.0
105,trOCR,0.0
106,trOCR,0.0
107,trOCR,0.0
108,trOCR,0.0
109,trOCR,0.0
110,trOCR,0.0
111,trOCR,0.0
112,trOCR,0.0
113,trOCR,0.0
114,trOCR,0.0
115,trOCR,0.0
116,trOCR,0.0
117,trOCR,0.0
118,trOCR,0.0
119,trOCR,0.0
